city;area;population
Rheinbach, Stadt;69.72;26639
Verden (Aller), Stadt;71.59;26626
Rödermark, Stadt;29.99;26449
Nordenham, Stadt;87.21;26448
Baesweiler, Stadt;27.77;26445
Geilenkirchen, Stadt;83.2;26420
Wangen im Allgäu, Stadt;101.29;26398
Kulmbach, GKSt;92.78;26352
Reinbek, Stadt;31.23;26347
Schloß Holte-Stukenbrock, Stadt;67.52;26329
Hamminkeln, Stadt;164.54;26284
Zittau, Stadt;66.74;26206
Geislingen an der Steige, Stadt;75.83;26182
Unterschleißheim, St;14.93;26155
Lennestadt, Stadt;135.59;26139
Emmendingen, Stadt;33.79;26122
Ilmenau, Stadt;62.64;26070
Griesheim, Stadt;21.55;26027
Weinstadt, Stadt;31.71;25998
St. Wendel, Kreisstadt;113.54;25977
Plettenberg, Stadt;96.76;25968
Lauf a.d.Pegnitz, St;59.81;25912
Neckarsulm, Stadt;24.94;25754
Hennigsdorf, Stadt;31.3;25704
Selm, Stadt;60.34;25697
Zirndorf, St;28.77;25686
Petershagen, Stadt;211.94;25662
Brilon, Stadt;229.16;25644
Strausberg, Stadt;67.78;25594
Leimen, Stadt;20.64;25581
Warstein, Stadt;158.03;25504
Heiligenhaus, Stadt;27.52;25502
Olching, St;29.92;25486
Lübbecke, Stadt;65.04;25467
Rinteln, Stadt;109.06;25325
Saalfeld/Saale, Stadt;48.75;25278
Wiehl, Stadt;53.26;25266
Sprockhövel, Stadt;47.8;25230
Hattersheim am Main, Stadt;15.81;25155
Schmallenberg, Stadt;303.1;25149
Delitzsch, Stadt;85.63;25148
Wiesloch, Stadt;30.26;25135
Lohne (Oldenburg), Stadt;90.79;25105
Einbeck, Stadt;165.99;25080
Senftenberg, Stadt;126.97;25061
Heppenheim (Bergstraße), Kreisstadt;52.14;24968
Hohen Neuendorf, Stadt;48.1;24905
Verl, Stadt;71.37;24892
Norden, Stadt;106.32;24873
Bad Honnef, Stadt;48.17;24832
Mühlacker, Stadt;54.32;24798
Olpe, Stadt;85.88;24663
Salzkotten, Stadt;109.8;24627
Ehingen (Donau), Stadt;178.37;24595
Espelkamp, Stadt;84.21;24592
Friedrichsdorf, Stadt;30.16;24570
Lindau (Bodensee), GKSt;33.04;24454
Achern, Stadt;65.24;24449
Bad Oldesloe, Stadt;52.6;24448
Rottweil, Stadt;71.76;24440
Attendorn, Hansestadt;97.95;24399
Limbach-Oberfrohna, Stadt;50.17;24385
Eisleben, Lutherstadt;143.86;24384
Salzwedel, Hansestadt;304.57;24381
Horb am Neckar, Stadt;119.83;24292
Rathenow, Stadt;112.43;24253
Ingelheim am Rhein, Stadt;49.86;24235
Roth, St;96.35;24170
Bingen am Rhein, Stadt;37.73;24077
Übach-Palenberg, Stadt;26.12;24052
Pfaffenhofen a.d.Ilm, St;92.64;24049
Ditzingen, Stadt;30.39;24048
Weiterstadt, Stadt;34.4;24042
Butzbach, Friedrich-Ludwig-Weidig-Stadt;106.6;24019
Remseck am Neckar, Stadt;22.82;23992
Groß-Gerau, Stadt;54.48;23941
Markkleeberg, Stadt;31.35;23869
Harsewinkel, Stadt;100.59;23862
Obertshausen, Stadt;13.62;23859
Ludwigsfelde, Stadt;109.32;23852
Pfungstadt, Stadt;42.53;23838
Dillenburg, Stadt;83.89;23749
Hann. Münden, Stadt;121.12;23738
Syke, Stadt;127.93;23669
Schleswig, Stadt;24.3;23665
Varel, Stadt;113.54;23640
Ellwangen (Jagst), Stadt;127.4;23622
Idstein, Stadt;79.7;23592
Meckenheim, Stadt;34.84;23574
Arnstadt, Stadt;55.29;23571
