log10.xvals,log10.ccdf,
358,1.5538830266,-3.8655283844
359,1.5550944486,-3.8655283844
360,1.5563025008,-3.8655283844
361,1.5575072019,-3.8655283844
362,1.5587085705,-3.8655283844
363,1.559906625,-3.8655283844
364,1.5611013836,-3.8655283844
365,1.5622928645,-3.8655283844
366,1.5634810854,-3.8655283844
367,1.5646660643,-3.8655283844
368,1.5658478187,-3.8655283844
369,1.5670263662,-3.8655283844
370,1.5682017241,-3.8655283844
371,1.5693739096,-3.8655283844
372,1.5705429399,-3.8655283844
373,1.5717088318,-3.8655283844
374,1.5728716022,-3.8655283844
375,1.5740312677,-3.8655283844
376,1.5751878449,-3.8655283844
377,1.5763413502,-3.8655283844
378,1.5774917998,-3.8655283844
379,1.57863921,-3.8655283844
380,1.5797835966,-3.8655283844
381,1.5809249757,-3.8655283844
382,1.5820633629,-3.8655283844
383,1.583198774,-3.8655283844
384,1.5843312244,-3.8655283844
385,1.5854607295,-3.8655283844
386,1.5865873047,-3.8655283844
387,1.587710965,-3.8655283844
388,1.5888317256,-3.8655283844
389,1.5899496013,-3.8655283844
390,1.591064607,-3.8655283844
391,1.5921767574,-3.8655283844
392,1.593286067,-3.8655283844
393,1.5943925504,-4.0416196434
394,1.5954962218,-4.0416196434
395,1.5965970956,-4.0416196434
396,1.5976951859,-4.0416196434
397,1.5987905068,-4.0416196434
398,1.5998830721,-4.0416196434
399,1.6009728957,-4.0416196434
400,1.6020599913,-4.0416196434
401,1.6031443726,-4.0416196434
402,1.6042260531,-4.0416196434
403,1.6053050461,-4.0416196434
404,1.6063813651,-4.0416196434
405,1.6074550232,-4.0416196434
406,1.6085260336,-4.0416196434
407,1.6095944092,-4.0416196434
408,1.6106601631,-4.0416196434
409,1.611723308,-4.0416196434
410,1.6127838567,-4.0416196434
411,1.6138418219,-4.0416196434
412,1.614897216,-4.0416196434
413,1.6159500517,-4.0416196434
414,1.6170003411,-4.0416196434
415,1.6180480967,-4.0416196434
416,1.6190933306,-4.0416196434
417,1.620136055,-4.0416196434
418,1.6211762818,-4.0416196434
419,1.622214023,-4.0416196434
420,1.6232492904,-4.0416196434
421,1.6242820958,-4.0416196434
422,1.625312451,-4.0416196434
423,1.6263403674,-4.0416196434
424,1.6273658566,-4.0416196434
425,1.6283889301,-4.0416196434
426,1.6294095991,-4.0416196434
427,1.630427875,-4.0416196434
428,1.631443769,-4.0416196434
429,1.6324572922,-4.0416196434
430,1.6334684556,-4.0416196434
431,1.6344772702,-4.0416196434
432,1.6354837468,-4.0416196434
433,1.6364878964,-4.0416196434
434,1.6374897295,-4.0416196434
435,1.638489257,-4.0416196434
436,1.6394864893,-4.0416196434
437,1.640481437,-4.0416196434
438,1.6414741105,-4.0416196434
439,1.6424645202,-4.0416196434
440,1.6434526765,-4.0416196434
441,1.6444385895,-4.0416196434
442,1.6454222693,-4.0416196434
443,1.6464037262,-4.0416196434
444,1.6473829701,-4.0416196434
445,1.648360011,-4.0416196434
446,1.6493348587,-4.0416196434
447,1.6503075231,-4.0416196434
448,1.651278014,-4.0416196434
449,1.652246341,-4.0416196434
450,1.6532125138,-4.0416196434
451,1.6541765419,-4.0416196434
452,1.6551384348,-4.0416196434
453,1.656098202,-4.0416196434
454,1.6570558529,-4.0416196434
455,1.6580113967,-4.0416196434
456,1.6589648427,-4.0416196434
457,1.6599162001,-4.0416196434
458,1.660865478,-4.0416196434
459,1.6618126855,-4.0416196434
460,1.6627578317,-4.0416196434
461,1.6637009254,-4.16655838
462,1.6646419756,-4.16655838
463,1.665580991,-4.16655838
464,1.6665179806,-4.16655838
465,1.6674529529,-4.16655838
466,1.6683859167,-4.16655838
467,1.6693168806,-4.16655838
468,1.6702458531,-4.16655838
469,1.6711728427,-4.16655838
470,1.6720978579,-4.16655838
471,1.6730209071,-4.16655838
472,1.6739419986,-4.16655838
473,1.6748611407,-4.16655838
474,1.6757783417,-4.16655838
475,1.6766936096,-4.16655838
476,1.6776069527,-4.16655838
477,1.678518379,-4.16655838
478,1.6794278966,-4.16655838
479,1.6803355134,-4.16655838
480,1.6812412374,-4.16655838
481,1.6821450764,-4.16655838
482,1.6830470382,-4.16655838
483,1.6839471308,-4.16655838
484,1.6848453616,-4.16655838
485,1.6857417386,-4.16655838
486,1.6866362693,-4.16655838
487,1.6875289612,-4.16655838
488,1.688419822,-4.16655838
489,1.6893088591,-4.16655838
490,1.69019608,-Inf
491,1.6910814921,-Inf
492,1.6919651028,-Inf
493,1.6928469193,-Inf
494,1.6937269489,-Inf
495,1.6946051989,-Inf
496,1.6954816765,-Inf
497,1.6963563887,-Inf
498,1.6972293428,-Inf
499,1.6981005456,-Inf
500,1.6989700043,-Inf
501,1.6998377259,-Inf
502,1.7007037171,-Inf
503,1.7015679851,-Inf
504,1.7024305364,-Inf
505,1.7032913781,-Inf
506,1.7041505168,-Inf
507,1.7050079593,-Inf
508,1.7058637123,-Inf
509,1.7067177823,-Inf
510,1.7075701761,-Inf
511,1.7084209001,-Inf
512,1.709269961,-Inf
513,1.7101173651,-Inf
514,1.710963119,-Inf
515,1.711807229,-Inf
516,1.7126497016,-Inf
517,1.7134905431,-Inf
518,1.7143297597,-Inf
519,1.7151673578,-Inf
520,1.7160033436,-Inf
521,1.7168377233,-Inf
522,1.717670503,-Inf
523,1.7185016889,-Inf
524,1.719331287,-Inf
525,1.7201593034,-Inf
526,1.7209857442,-Inf
527,1.7218106152,-Inf
528,1.7226339225,-Inf
529,1.723455672,-Inf
530,1.7242758696,-Inf
531,1.7250945211,-Inf
532,1.7259116323,-Inf
533,1.726727209,-Inf
534,1.727541257,-Inf
535,1.728353782,-Inf
536,1.7291647897,-Inf
537,1.7299742857,-Inf
538,1.7307822757,-Inf
539,1.7315887652,-Inf
540,1.7323937598,-Inf
541,1.7331972651,-Inf
542,1.7339992865,-Inf
543,1.7347998296,-Inf
